"","Genus_spp","CE07","CN01","WP58","WP55","WP37","WP29","WP3","WP34","WP33","WP5","WP30","WP67","CE03.WP15","CE04","WP20","WP1","WP4","WP69","WP73","WP40","WP43","WP60","WP31","CE05","CE02","WP59","WP42","WP27","WP7","WP57","WP56","WP39","CE09","CE1","WP10","CE10","WP12","WP65","CE01","CE08","sum"
"1","Abies_amabilis",0,0,0,0,0.0198943678864869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318309886183791,0,0,0,0,0.00318309886183791,0,0,0,0,0.00497359197162173,0,0,0,0,0,0,0,0.0198943678864869,0,0,0,0.366255312790224
"2","Abies_lasiocarpa",0,0.0795774715459477,0.0127323954473516,1,6.5,0.0198943678864869,0.5,0.5,0.00318309886183791,0,0,0,1.5,0.5,0,0.318309886183791,0,0.00318309886183791,4,0.5,0.00392975168128137,0.5,0.00649612012619981,0,0,0,0.0198943678864869,5,0.318309886183791,2.5,4.5,0.5,0.5,2.5,0,0.00649612012619981,0.5,0,0.0353677651315323,0.5,32.8273743299227
"3","Achillea_millefolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
"4","Agoseris_aurantiaca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259844805047992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259844805047992
"5","Agrostis_humilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884194128288308,3.5,0,0,0,0,0,3.50884194128288
"6","Alnus_viridis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198943678864869,0,0.00884194128288308,0,0,0,0,0,0,0,0,0.02873630916937
"7","Anaphalis_margaritacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0.00318309886183791,0,0,0,0,0.141471060526129,1,0,0,0,0,0,0,0,0.000795774715459477,0.5,0,0.141471060526129,0.00221048532072077,0,0.000982437920320342,0,0.0198943678864869,1.82274068120444
"8","Anemone_occidentalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000982437920320342,0,0.000259844805047992,0,0,0,0,0,0,0.00124228272536833
"9","Antennaria_alpina",0,0,0,0,0.0127323954473516,0,0.000795774715459477,0.0127323954473516,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2,0.000470872612697915,0.141471060526129,0.00497359197162173,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.17317609072061
"10","Antennaria_rosea",0,0,0,0.00263066021639496,0.0198943678864869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353677651315323,0,0,0,0,0,0,0.00884194128288308,0,0.0353677651315323,3,0,0.00162403003154995,0,0,0,0,0,0,0,3.06871244220016
