"","Family","CE07","CN01","WP58","WP55","WP37","WP29","WP3","WP34","WP33","WP5","WP30","WP67","CE03.WP15","CE04","WP20","WP1","WP4","WP69","WP73","WP40","WP43","WP60","WP31","CE05","CE02","WP59","WP42","WP27","WP7","WP57","WP56","WP39","CE09","CE1","WP10","CE10","WP12","WP65","CE01","CE08","sum"
"1","",0,4.5,3.00050929581789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2.5,NA,6,0,0.00318309886183791,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"2","Aspleniaceae",0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0,0,0.00392975168128137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0.0293945425759846
"3","Asteraceae",0.00263066021639496,1.53536776513153,11.6656409205967,0.0803243070501283,0.0459608787928797,0.000509295817894065,0.500795774715459,3.51273239544735,1.50101859163579,0,6.64147106052613,0,1.01984524599047,0.137403767536003,0.0464163673660692,0,0.00110141829129339,0.00318309886183791,0.0414687046167216,0.000795774715459477,0.0419108016808658,15.0017259469384,15.6545143054717,4.02743779103782,0.141471060526129,0.00595602989194207,3.52088908628081,0.0108068171235238,0.0022964554423355,0.0417339628552081,3.01989436788649,12.5007957747155,4.00286742802446,0.0103057737841604,4.17734812147556,7.00539358418256,0,0.00186418275739455,6,4.53262676333384,106.436504280717
"4","Athyriaceae",0,0.000795774715459477,0,0,0,0,0,0,0,0,0.0198943678864869,0,0,0.0127323954473516,0,0,0,0,0,0,0.00141471060526129,0.00141471060526129,0,0.0353677651315323,0,0,0,0,0,0,0,0.000881744837074213,0,0,0,0.0795774715459477,0,0,0,0.0127323954473516,0.164811336221726
"5","Betulaceae",0,0.00141471060526129,0,0.000657665054098741,0.00103937922019197,0.000509295817894065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477,0,0,0,0.0127323954473516,0,0.0225250281028819,0.0353677651315323,0.00884194128288308,0,0,0,0,0,0.0795774715459477,0,0.0127323954473516,0.176193822370854
"6","Boraginaceae",0,4.5,0,0,0,0,0,0,0,0,0.00221048532072077,0,0,0.0353677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,5.03757825045225
"7","Brassicaceae",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.0141471060526129,0.00649612012619981,0,NA,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110141829129339,0,0,NA
"8","Caprifoliaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000259844805047992,0,0,0,0,0,0,0.000881744837074213,0,0,0,0,0.00392975168128137,0,0,0,0,5.5,0.5,7.0050713413234
"9","Caryophyllaceae",0,0,0.000509295817894065,0,0,0,0,0,0,0,0,0,0,0.00141471060526129,0.00649612012619981,0,0,0,0,0,0,2.5,0.000310849498226358,0.00392975168128137,0,0,0,0,0,0.000795774715459477,0,0,0,0,0,0.0509295817894065,0,0,0,0,2.56438608423373
"10","Celastraceae",0,0,0,0,0,0,0,0,0,0,2,0,0.0795774715459477,0,0,0,0,0,0,0,0,5,0.00263066021639496,0,0,0,0,0,0,0,0,3.5,2.5,0,2,0,0,0,0,0.0795774715459477,15.1617856033083
"11","Crassulaceae",0,0.0127323954473516,0.00649612012619981,0,0,3,0,0.000157190067251255,0,0,0.00318309886183791,0,0,3,0,0,0,1.5,0,0,2,0.000509295817894065,6,0.5,0,0,0,0,0,3,1.5,0.000795774715459477,0.000310849498226358,0,0,0,0,0,0,0.0353677651315323,20.5595524896658
"12","crust",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"13","Cupressaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Cyperaceae",0,0.0353677651315323,0.0795774715459477,1.54186388525773,2.50110141829129,0,2.5,20,NA,4,0.5,0.0795774715459477,13,0,2,1.5,16,4,0.0254647908947032,2.50141471060526,0.00318309886183791,7.5,0.5,0,0,3.50050929581789,1,0.0215183979180368,0.0845510635175694,4,3.5,8.5,4.5,0.00318309886183791,1.5,0,0,0,12,0.5,NA
"15","Dryopteridaceae",0,0,0,0,0,0,0,0,0,0,0.00884194128288308,0,0,0.000795774715459477,0,0,0,0,0.00124339799290543,0,0.0797867482627023,0.0127323954473516,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.603400257701302
