glacier,country,GLIMS_id,lon_wgs84,lat_wgs84,elev_m,mat_°C,pcp_mm,litho,area_km2,N_positions
Adigine,Kyrgyzstan,G074433E42500N,74.438679,42.510374,3603,-5.5,561,pa,3.057,5
Adishi,Georgia,G043016E43017N,42.990249,42.99504,2670,-0.6,1286,ss,9.588,5
Agola,Italy,G010862E46150N,10.855422,46.151903,2629,-1.62,1405,sc,0.149,6
Amola,Italy,G010678E46220N,10.683462,46.21865,2801,-2.79,1230,pa / su,0.684,4
Antisana 12,Ecuador,G281855E00490S,-78.16357,-0.494725,4666,2.54,967,vi,9.487,7
Antisana 15,Ecuador,G281855E00490S,-78.156241,-0.472385,4720,2.35,1092,vi,9.487,6
Bara Shigri,India,G077683E32169N,77.585895,32.284761,4050,-1.27,536,pa / sm,109.441,11
Boko,Georgia,G043719E42767N,43.69894,42.750422,2734,-0.61,1156,ss,4.624,4
Brewster,New Zealand,G169437E44072S,169.431691,-44.082395,1794,1.33,4105,mt,2.67296,3
Broggi,Peru,G282416E09001S,-77.591251,-9.006986,4655,3.72,811,sm,0.043,5
Carihuairazo,Ecuador,G281243E01403S,-78.756206,-1.403367,4593,2.7,819,vi,0.802,5
Chalaati,Georgia,G042713E43130N,42.73132,43.114221,1903,3.61,998,mt / ss,9.242,7
Charquini,Bolivia,G291894E16302S,-68.113146,-16.308372,4850,2.1,954,sm,0.649,8
Cipreses,Chile,G289664E34607S,-70.388318,-34.552079,2256,5.55,795,va,110.978,6
Dammagletscher,Switzerland,G008429E46634N,8.441087,46.634408,2751,-2.61,1612,pa / su,3.718,6
Dart,New Zealand,G168609E44455S,168.588662,-44.487077,1225,3.71,2049,mt,9.657,6
Devdoraki,Georgia,G044517E42715N,44.56258,42.718722,2479,0.17,1111,ss,4.411,4
Dolra,Georgia,G042522E43171N,42.559923,43.157918,2726,-0.63,1173,mt / sc,5.36,4
Exit,United States,G210297E60121N,-149.631308,60.184156,194,3.08,1363,ss,32.103,5
Exploradores,Chile,G286716E46597S,-73.170729,-46.497005,150,7.63,1455,pa / su,79.437,4
Ferdinandbreen,Svalbard and Jan Mayen,G016310E78709N,16.362063,78.710816,387,-8.75,277,sm,1.251,4
Flaajokull,Iceland,G343222E64409N,-15.532578,64.324054,51,3.72,1424,vb,8091.67,4
Forni,Italy,G010609E46395N,10.573295,46.414748,2356,-0.29,868,mt,10.502,6
Fox,New Zealand,G170162E43537S,170.045682,-43.496617,460,9.09,4515,mt / su,34.311,23
Franz Joseph,New Zealand,G170225E43495S,170.172953,-43.438122,504,9.49,3604,mt / su,33.084,27
Gangotri,India,G079147E30802N,79.075461,30.92974,4080,-0.35,895,mt,176.771,11
Gannett,United States,G250356E43195N,-109.641027,43.203061,3634,-3.56,333,mt / pa,3.447,4
Gergeti,Georgia,G044499E42692N,44.529996,42.673808,3639,-6.3,1242,sm / ss,5.775,4
Glacier Blanc,France,G006382E44944N,6.406729,44.935718,2666,-0.9,899,mt,4.699,5
Glacier de Gebroulaz,France,G006629E45295N,6.631232,45.292978,2862,-1.96,1017,mt / sc,2.866,4
Glacier des Nantillons,France,G006912E45907N,6.910559,45.906169,2603,-1.75,1513,pa,0.379,5
Glacier des Pelerins,France,G006889E45892N,6.891106,45.889808,2756,-2.6,1505,mt / pa / ss,0.675,4
Glacier d'Estellette,Italy,G006813E45771N,6.823774,45.767277,2497,-0.6,1245,mt / pb / sc,0.298,6
Glacier Noir,France,G006383E44906N,6.394845,44.919974,2393,0.56,883,mt / pa,2.457,5
Grande di Verra,Switzerland / Italy,G007761E45922N,7.759687,45.92194,3316,-5.42,814,mt / pb / vb,6.311,12
Hailuogou,China,G101916E29584N,101.992642,29.568354,3208,5.94,709,pa / ss,24.526,7
Hamtah,India,G077370E32238N,77.35584,32.267964,4122,-1.55,1006,mt,4.834,4
Iztaccihuatl,Mexico,G261358E19179N / G261361E19165N / G261361E19170N,-98.640289,19.174714,4666,3.09,927,va,0.234 / 0.014 / 0.184,5
Jamapa,Mexico,G262731E19038N,-97.27016,19.037158,4961,-0.78,1175,va,0.635,12
Khalde,Georgia,G043043E42994N,43.020573,42.987466,2707,-1.07,1245,pa / ss,8.594,5
Kolahoi,Jammu Kashmir,G075317E34168N,75.332715,34.195029,3622,0.2,989,vb,2.297,10
Kvitlodi,Georgia,G042950E43105N,42.90417,43.099923,2722,-1.27,1126,ss,9.582,3
Lekhziri,Georgia,G042766E43151N,42.763405,43.141564,2221,1.81,1063,mt / pa / ss,23.77,5
Lewis,Kenya,G037314E00157S,37.311622,-0.159681,4562,2.8,1508,vi,0.208,8
Lobuche,Nepal,G086800E27959N,86.808714,27.955708,5120,-2.13,1866,mt,1.424,4
Maladeta,Spain,G000638E42651N,0.636987,42.6568,2791,-1.14,1231,mt,0.329,10
MGU,Russian Federation,G066069E67789N,66.076805,67.786311,838,-10.66,664,sm,0.061,4
Miage,Italy,G006830E45811N,6.869498,45.778259,2046,2.2,1053,su,10.086,2
Midtdalsbreen,Norway,G007433E60558N,7.469503,60.575253,1348,-1.23,754,pa / pb,6.772,11
Midtre Lovenbreen,Svalbard and Jan Mayen,G012039E78878N,12.064988,78.898894,99,-5.9,411,mt / sm,5.205,6
Milam,India,G080065E30534N,80.115098,30.461168,3736,1.8,908,ss,46.366,7
Morteratsch,Switzerland,G009927E46382N,9.93757,46.43812,2123,1.3,909,mt / pa / pb / su,14.593,12
Nageba,Georgia,G042959E43036N,42.934279,43.046184,2832,-1.93,1136,mt / ss,4.602,4
Nevado de Santa Isabel,Colombia,G284629E04805N,-75.369739,4.802481,4513,3.47,2254,vi,3.812,9
Odenwinkelkees,Austria,G012646E47110N,12.638552,47.124234,2304,-0.55,1173,pa,1.609,7
Olivares Gama,Chile,G289815E33129S,-70.153894,-33.156906,3673,-0.99,242,va,22.663,6
Palisade,United States,G241492E37101N,-118.506116,37.106371,3698,-0.57,433,pa,0.835,6
Pasquale,Italy,G010598E46450N,10.586613,46.451507,2816,-2.77,912,mt,2.041,4
Pindari,India,G080007E30302N,79.999908,30.264325,3812,1.87,1820,mt,10.495,5
Platabreen,Svalbard and Jan Mayen,G015453E78188N,15.480282,78.199095,483,-8.45,383,sm,1.079,6
Popocatepetl,Mexico,NA,-98.629585,19.028726,4628,3.45,1002,vi,NA,4
Popocatepetl - Ventrorillo,Mexico,NA,-98.638223,19.038176,4264,5.48,952,vi,NA,1
Popov,Kyrgyzstan,G077931E41985N,77.945678,41.967101,4015,-6.78,303,sm,7.82,5
Pre de Bar,Italy,G007045E45907N,7.061557,45.887562,2163,1.29,1229,sc / va,2.719,8
Puncak Jaya,Indonesia,G137187E04068S / G137184E04084S / G137160E04050S,137.165721,-4.065425,4397,3.28,3918,mt / ss,0.254 / 0.120 / 0.066,8
Qamanaarsuup Sermia,Greenland,NA,-49.64915,64.460198,365,-4.18,527,mt,NA,4
Rotmoosferner,Austria,G011042E46813N,11.040386,46.830843,2538,-1.46,888,mt,1.245,12
Rutor,France / Italy,G006997E45648N,6.992953,45.648237,2813,-2.28,1470,mt / ss,7.646,17
San Lorenzo,Chile,G287670E47555S,-72.320061,-47.529993,1282,1.28,400,pa / su,3.258,5
Sentinel,Canada,G237020E49886N,-122.989249,49.895349,1737,1.08,2269,pa / vb,2.03,6
Sforzellina,Italy,G010513E46348N,10.510653,46.350558,2861,-3.02,1187,mt,0.218,8
Shankalpa (Ralm),India,G080316E30406N,80.327473,30.340798,3879,1.1,1516,sm / ss,31.023,6
Shkhara,Georgia,G043106E42983N,43.096469,42.965318,2563,-0.37,1208,pa / ss,3.611,4
Solheimajokull,Iceland,G340925E63656N,-19.366006,63.534293,234,3.72,1877,vb,596.616,8
Sonapani,India,G077374E32449N,77.335555,32.445794,3986,-0.95,826,pa / sm,10.995,7
Sorapiss Centrale,Italy,G012219E46510N,12.220599,46.510225,2237,-1.86,1362,sc,0.084,5
Sphinx,Canada,G237043E49904N,-122.974267,49.923901,1632,1.61,1980,pa,6.538,5
Steindalsbreen,Norway,G019852E69395N,19.927187,69.391197,520,-0.98,689,pb,4.652,8
Tiedemann,Canada,G234818E51352N,-124.900897,51.317932,592,6.84,429,pa,58.91,5
Trobio,Italy,G010086E46054N,10.082533,46.058658,2580,-1.3,1674,ss,0.057,8
Tsaneri,Georgia,G042999E43050N,42.938283,43.071611,2564,-0.45,1073,mt / ss,12.32,3
Tsaneri-Nageba,Georgia,G042999E43050N,42.913497,43.05825,2333,1.4,1113,mt / ss,12.32,2
Tviberi,Georgia,G042838E43120N,42.869621,43.105718,2439,0.25,1072,mt / pa / ss,4.652,4
Tyndall,Kenya,G037305E00152S,37.305064,-0.15387,4617,2.8,1429,vi,0.078,8
Upper Lednikovaya1,Russian Federation,G117502E56902N,117.504576,56.903891,2286,-12.96,626,pa,0.123,5
Upper Lednikovaya2,Russian Federation,G117513E56895N,117.517039,56.896524,2158,-12.47,576,pa,0.28,5
Upper Lednikovaya3,Russian Federation,G117537E56884N,117.54538,56.885881,2214,-12.86,564,pa,0.309,5
Upper Lednikovaya4,Russian Federation,G117536E56877N,117.555988,56.878135,2322,-13.28,598,pa,0.416,5
Uruashraju,Peru,G282683E09587S,-77.327805,-9.600314,4718,3.6,785,pa / sm,1.775,5
Ushba,Georgia,G042633E43131N,42.608837,43.130606,2696,-0.72,1259,mt / pa,4.724,4
West Turgen,Mongolia,G091341E49707N,91.333114,49.720916,3056,-9.53,181,sm,2.17,4
Yanamarey,Peru,G282730E09653S,-77.276636,-9.660347,4732,3.61,847,sm,0.282,11
Zemu,India,G088262E27749N,88.38218,27.766419,4316,1.74,1623,mt,77.27,6
Zongo,Bolivia,G291856E16274S,-68.130666,-16.278482,4910,2,1044,sm,2.339,7
