Name,Long,Lat,Date,Samplers,Sheet_,Ecotone,Water,NDVI,Slope,Aspect,Elevation
CE01,-122.9844099,49.89956171,Sentinel_1720,"CE, CN",17,,,,,,
CE02,-122.980867,49.90380529,Sentinel_1720,"JG, MS",12,,,,,,
CE03.WP15,-122.981446,49.92038533,Sphinx_1928,NA,NA,,,,,,
CE04,-122.9779974,49.91343756,Sphinx_1977,"CE, CN",7,,,,,,
CE05,-122.979681,49.91766528,Sphinx_1928,"JG, MS",12,,,,,,
CE07,-122.9776401,49.89448948,Sentinel_1977,"CN, JG",1,,,,,,
CE08,-122.9924511,49.89966469,Sentinel_1949,"CE, CN",17,,,,,,
CE09,-122.9953469,49.90216225,Sentinel_1928,"PS, AK",15,,,,,,
CE1,-122.9844099,49.89956171,Sentinel_1720,"PS, AK",15,,,,,,
CE10,-122.964924,49.92065371,Sphinx_1977,"JG, MS, CN",16,,,,,,
CN01,-122.9957,49.90105,Sentinel_1928,"CN, JG",1,,,,,,
WP1,-123.0008913,49.90435012,Sentinel_1928,"CC, MF",8,,,,,,
WP10,-122.984308,49.89700079,Sentinel_1949,"PS, AK",15,,,,,,
WP12,-122.9674432,49.9225318,Sphinx_1977,"JG, MS, CN",16,,,,,,
WP20,-122.9988581,49.90368454,Sentinel_1928,"CC, MF",8,,,,,,
WP23,,,,"CE, MS",,,,,,,
WP27,-122.9915981,49.93088265,Sphinx_1720,"CL, NBL, CE",14,,,,,,
WP29,-122.9890628,49.92850798,Sphinx_1928,"JG, CN",3,,,,,,
WP3,-122.9993037,49.90605901,Sentinel_1720,"TM, NH",4,,,,,,
WP30,-122.9819278,49.89510266,Sentinel_1977,"PS, AK",5,,,,,,
WP31,-122.9896825,49.8972982,Sentinel_1949,"JG, MS",11,,,,,,
WP33,-123.0021307,49.9059061,Sentinel_1720,"TM, NH",4,,,,,,
WP34,-122.9994569,49.90733619,Sentinel_1720,"TM, NH",4,,,,,,
WP37,-122.9904283,49.92784253,Sphinx_1928,"JG, CN",3,,,,,,
WP39,-122.9960452,49.90320779,Sentinel_1928,"PS, AK",15,,,,,,
WP4,-122.9929637,49.93056795,Sphinx_1720,"CL, NBL",9,,,,,,
WP40,-123.0049575,49.90395427,Sentinel_1720,"CL, NBL",9,,,,,,
WP42,-122.9920168,49.92704217,Sphinx_1720,"CC, MF",13,,,,,,
WP43,-122.9840347,49.92345267,Sphinx_1928,"NH, PS, TM, MS, AK",10,,,,,,
WP5,-123.0017686,49.90514159,Sentinel_1720,"TM, NH",4,,,,,,
WP55,-122.9926714,49.92855324,Sphinx_1720,"JG, CN",3,,,,,,
WP56,-122.9902328,49.93021698,Sphinx_1720,"CL, NBL, CE",14,,,,,,
WP57,-122.9896892,49.93113433,Sphinx_1720,"CL, NBL, CE",14,,,,,,
WP58,-122.9911247,49.92909278,Sphinx_1928,NA,NA,,,,,,
WP59,-122.9885339,49.92601655,Sphinx_1928,"CC, MF",13,,,,,,
WP60,-122.9815134,49.9228407,Sphinx_1928,"NH, PS, TM, MS, AK",10,,,,,,
WP65,-122.9701737,49.92241561,Sphinx_1949,"JG, MS, CN",16,,,,,,
WP67,-123.0029802,49.90546536,Sentinel_1720,NH,6,,,,,,
WP69,-123.0037876,49.9019576,Sentinel_1720,"CL, NBL",9,,,,,,
WP7,-122.9931725,49.93197105,Sphinx_1720,"CL, NBL, CE",14,,,,,,
WP73,-123.0050131,49.90237129,Sentinel_1720,"CL, NBL",9,,,,,,
