CoreID,Site ,Subsite,Plot,W/C,Soil core weight (g) ,Soil core wet weight post removal (g) ,Date of installment,Depth of core (cm) ,Diameter of core (cm),Vol core (cm3),Date of removal ,Gravel weight (g),Subsample wet weight (g) ,Subsample dry weight (g) ,GWC %,Dry weight core (g) ,Bulk density (g/cm3),Roots wet weight (g) ,Roots dry weight (g) ,Root (g/bulk dens),Core soil source ,moist category (within site),distance to nearest logger (cm) ,TOMST logger ID,Camera ID,Notes
SAL_1C_P1,Sphinx Bay,Salix,1,C,354.8,523,July 20 2022,20,6,565.48668,June 28 2023,0.8,10.1,1.731,4.834777585,89.6349505,0.159924104,0.253,0.034,0.212600848,,moist,,,,
SAL_1C_P2,Sphinx Bay,Salix,1,C,349,520.4,July 20 2022,20,6,565.48668,August 1 2023,80.9,NEED TO FILL WITH AVERAGE,NEED TO FILL WITH AVERAGE,,,,0.892,0.204,,,moist,,,,
SAL_1C_P3,Sphinx Bay,Salix,1,C,350.4,415,July 20 2022,20,6,565.48668,September 22 2023,27.6,10.7,2.28,3.692982456,88.42990654,0.205185923,1.05,0.264,1.286637971,,moist,,,,
SAL_1C_T1,Sphinx Bay,Salix,1,C,325.3,405.3,July 20 2022,20,6,565.48668,August 1 2023,4.8,8.3,2.376,2.493265993,116.0232289,0.213662378,0.173,0.085,0.397823897,,moist,,,,
SAL_1C_T2,Sphinx Bay,Salix,1,C,317.6,412,July 20 2022,20,6,565.48668,September 22 2023,52.07,10,2.509,2.985651654,103.3708,0.274879684,1.17,0.243,0.884023135,,moist,,,,
SAL_2W_P1,Sphinx Bay,Salix,2,W,309.3,550.2,July 20 2022,20,6,565.48668,June 28 2023,35.74,10.4,1.739,4.980448534,91.99978846,0.225893541,0.46,0.046,0.203635747,,moist,,,,
SAL_2W_P2,Sphinx Bay,Salix,2,W,338.4,390.7,July 20 2022,20,6,565.48668,August 1 2023,4.5,9.5,2.358,3.028837998,96.97585263,0.179448705,0.823,0.118,0.657569525,,moist,,,,
SAL_2W_P3,Sphinx Bay,Salix,2,W,365.3,415,July 20 2022,20,6,565.48668,September 22 2023,0.53,10.4,2.613,2.980099502,104.26875,0.185324878,1.343,0.303,1.634966677,,moist,,,,
SAL_2W_T1,Sphinx Bay,Salix,2,W,338.8,352.8,July 20 2022,20,6,565.48668,August 1 2023,6.2,9.6,2.452,2.915171289,90.111,0.170315241,0.708,0.083,0.487331607,,moist,,,,
SAL_2W_T2,Sphinx Bay,Salix,2,W,336.9,403,July 20 2022,20,6,565.48668,September 22 2023,3.85,10.4,2.42,3.297520661,93.775,0.172638903,0.751,0.153,0.886242889,,moist,,,,
CASS_15C_P1,Sphinx Bay,Cassiope,15,C,329.6,447,July 19 2022,20,6,565.48668,June 28 2023,0,10.4,1.9,4.473684211,81.66346154,0.144412706,0.154,0.038,0.263134742,,dry,,,,
CASS_15C_P2,Sphinx Bay,Cassiope,15,C,355.5,481,July 19 2022,20,6,565.48668,August 1 2023,9.5,9.3,3.875,1.4,200.4166667,0.371214167,0.46,0.097,0.261304683,,dry,,,,
CASS_15C_P3,Sphinx Bay,Cassiope,15,C,340.3,440.4,July 19 2022,20,6,565.48668,September 24 2023,0,10,2.074,3.821600771,91.33896,0.161522744,1.784,0.331,2.049247014,,dry,,,,
CASS_15C_T1,Sphinx Bay,Cassiope,15,C,335.6,447.5,July 19 2022,20,6,565.48668,August 1 2023,1.5,10.7,1.9,4.631578947,79.46261682,0.14317334,0.186,0.031,0.216520757,,dry,,,,
CASS_15C_T2,Sphinx Bay,Cassiope,15,C,317.6,398.46,July 19 2022,20,6,565.48668,September 24 2023,0,10.57,1.91,4.534031414,72.0017597,0.127327066,0.744,0.175,1.374413201,,dry,,,,
