,<TBI DATA FORM> ,,VERSION 2.NW,,,,,,,,,,,,,,,,,,,,,,
,NOTE,,,,,,,,,,,,,,,,,,,,,,,,
,ONLY SUBMIT DATA FROM WOVEN BAGS. READ GENERAL INSTRUCTIONS IN THE MANUAL SHEET BEFORE YOU START,,,,,,,,,,,,,,,,,,,,,,,,
,"This form consists of five parts: METADATA (L10-L20), COMMON DATA (L24-L40), LOCATION CODES (L42-L52), TREATMENT LEGEND (L54-L58) AND SAMPLE DATA (L61-)",,,,,,,,,,,,,,,,,,,,,,,,
,The formulae used in this sheet are based on Keuskamp et al. 2013 (http://onlinelibrary.wiley.com/enhanced/doi/10.1111/2041-210X.12097/),,,,,,,,,,,,,,,,,,,,,,,,
,For more information please refer to the manual included with this file ,,,,,,,,,,,,,,,,,,,,,,,,
,"Please fill out the data in the purple cells, and optionally in the blue cells and send form to tbiteam@decolab.org or upload it on www.teatime4science.org",,,,,,,,,,,,,,,,,,,,,,,,
,"use version 2W if you have used non woven bags, and your bags did not look like the picture. Consult www.teatime4science.org for the differences",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,<METADATA>,,,,,,,,,,,,,,,,,,,,,,,,
,Item,,,,Value,,,,,,,,,,,,,,,,,,,,
,Principal investigator,,,,,,,,,,,,,,,,,,,,,,,,
,Affiliation PI,,,,,,,,,,,,,,,,,,,,,,,,
,Email address of principal investigator,,,,,,,,,,,,,,,,,,,,,,,,
,Email address secondary investigator,,,,,,,,,,,,,,,,,,,,,,,,
,Country,,,,,,,,,,,,,,,,,,,,,,,,
,Name of the project,,,,,,,,,,,,,,,,,,,,,,,,
,Aim of the project,,,,,,,,,,,,,,,,,,,,,,,,
,Reference (APA),,,,,,,,,,,,,,,,,,,,,,,,
,<END OF METADATA>,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,<COMMON DATA>,,,,,,,,,,,,,,,,,,,,,,,,
,item,,,,Value,,,,,,,,,,,,,,,,,,,,
