ID,sp,Treat,Freq,Log
1,Luetka.pectinata,1,32.57142857,3.48343548
2,Bryophyta,1,6.214285714,1.826850789
3,Vaccinium.ovafolium,1,22.64285714,3.119844444
4,Cassiope.mertensiana,1,14.85714286,2.69848075
5,Phyllodoce.empetriformis,1,17.92857143,2.88639561
6,Abies.lasiocarpa,1,5.142857143,1.637608789
7,Pilosella.tristis,1,7.285714286,1.985915484
8,Erigeron.glacialis,1,3.214285714,1.16760516
9,Kalmia.microphylla,1,2.785714286,1.024504317
10,Lupinus_spp,1,2.642857143,0.971860583
11,Diphasiastrum,1,1.785714286,0.579818495
12,Arnica.latifolia,1,1.642857143,0.496436886
13,Tsuga.mertensiana,1,0.928571429,-0.074107972
14,Luzula.piperi,1,2.071428571,0.7282385
1,Luetka.pectinata,2,32.21428571,3.47241001
2,Bryophyta,2,29.14285714,3.372209845
3,Vaccinium.ovafolium,2,28.78571429,3.359879232
4,Cassiope.mertensiana,2,28.21428571,3.339828435
5,Phyllodoce.empetriformis,2,26.35714286,3.271739315
6,Abies.lasiocarpa,2,17.21428571,2.845739604
7,Pilosella.tristis,2,11.21428571,2.417188475
8,Erigeron.glacialis,2,7.642857143,2.033771505
9,Kalmia.microphylla,2,5.071428571,1.623622547
10,Lupinus_spp,2,2.642857143,0.971860583
11,Diphasiastrum,2,2.357142857,0.857450232
12,Arnica.latifolia,2,2.357142857,0.857450232
13,Tsuga.mertensiana,2,1.857142857,0.619039208
14,Luzula.piperi,2,1.428571429,0.356674944
