Species,treatment,meanFreq,LogMeanFreq,SDmeanFreq,SEmeanFreq,Treat
Abies.lasiocarpa,offTrail,14,2.708050201,12.0128137,3.2105595,1
Antennaria.media,offTrail,0,0,0,0,1
Arnica.latifolia,offTrail,1.78571429,0.5798184977,5.83330717,1.55901692,1
Pilosella.tristis_Erigeron.glacialis,offTrail,3.14285714,1.145132303,10.6616288,2.84944017,1
Bryophyta,offTrail,25.4285714,3.2358734,14.9291366,3.9899796,1
Caltha.leptosepala,offTrail,3.14285714,1.145132303,8.11320996,2.16834657,1
Carex.nigricans.pyrenaica,offTrail,0.64285714,-0.4418327567,1.90574608,0.50933206,1
Carex.pyrenaica,offTrail,0.92857143,-0.07410797062,3.47439614,0.92857143,1
Carex.spp,offTrail,6.78571429,1.914819563,10.5186908,2.81123838,1
Carex.nigricans,offTrail,0,0,0,0,1
Carex.spectabilis,offTrail,5.07142857,1.623622547,12.5542778,3.35527187,1
Cassiope.mertensiana,offTrail,27.1428571,3.301113922,15.5061136,4.14418319,1
Castilleja.parviflora,offTrail,0.92857143,-0.07410797062,2.36852066,0.63301377,1
Clintonia.uniflora,offTrail,0.14285714,-1.945910169,0.53452248,0.14285714,1
Diphasiastrum,offTrail,2.35714286,0.8574502331,5.62422156,1.50313644,1
Epilobium.anagallidifolium,offTrail,1.07142857,0.06899287015,2.55596695,0.6831109,1
Erigeron.glacialis,offTrail,8.14285714,2.097141118,11.175916,2.9868892,1
Festuca.brachyphylla,offTrail,0,0,0,0,1
Gaultheria.humifusa,offTrail,0.35714286,-1.029619409,1.33630621,0.35714286,1
Juncus.drummondii,offTrail,1.85714286,0.6190392099,3.65549413,0.9769719,1
Kalmia.microphylla,offTrail,5.07142857,1.623622547,10.2090781,2.72849088,1
Luzula.piperi,offTrail,2.92857143,1.074514738,3.89208834,1.04020436,1
Leptarrhena.pyrolifolia,offTrail,0.64285714,-0.4418327567,2.40535118,0.64285714,1
Luetka.pectinata,offTrail,35,3.555348061,9.92277877,2.65197418,1
Lupinus_spp,offTrail,2.35714286,0.8574502331,7.42767323,1.98512917,1
Penstemon.procerus,offTrail,0.14285714,-1.945910169,0.53452248,0.14285714,1
Phyllodoce.empetriformis,offTrail,24.9285714,3.216014591,14.8607086,3.97169143,1
Phyllodoce.glanduliflora,offTrail,1.07142857,0.06899287015,4.00891863,1.07142857,1
