Species,treatment,meanFreq,LogMeanFreq,SDmeanFreq,SEmeanFreq,Treat,Func_Group
Abies.lasiocarpa,offTrail,14,2.708050201,12.0128137,3.2105595,1,Conifers
Antennaria.media,offTrail,0,0,0,0,1,Forbs
Arnica.latifolia,offTrail,1.78571429,0.5798184977,5.83330717,1.55901692,1,Forbs
Pilosella.tristis_Erigeron.glacialis,offTrail,3.14285714,1.145132303,10.6616288,2.84944017,1,Forbs
Bryophyta,offTrail,25.4285714,3.2358734,14.9291366,3.9899796,1,Bryophytes 
Caltha.leptosepala,offTrail,3.14285714,1.145132303,8.11320996,2.16834657,1,Forbs
Carex.nigricans.pyrenaica,offTrail,0.64285714,-0.4418327567,1.90574608,0.50933206,1,Graminoids
Carex.pyrenaica,offTrail,0.92857143,-0.07410797062,3.47439614,0.92857143,1,Graminoids
Carex.spp,offTrail,6.78571429,1.914819563,10.5186908,2.81123838,1,Graminoids
Carex.nigricans,offTrail,0,0,0,0,1,Graminoids
Carex.spectabilis,offTrail,5.07142857,1.623622547,12.5542778,3.35527187,1,Graminoids
Cassiope.mertensiana,offTrail,27.1428571,3.301113922,15.5061136,4.14418319,1,Ev. Shrubs 
Castilleja.parviflora,offTrail,0.92857143,-0.07410797062,2.36852066,0.63301377,1,Forbs
Clintonia.uniflora,offTrail,0.14285714,-1.945910169,0.53452248,0.14285714,1,Forbs
Diphasiastrum,offTrail,2.35714286,0.8574502331,5.62422156,1.50313644,1,Forbs
Epilobium.anagallidifolium,offTrail,1.07142857,0.06899287015,2.55596695,0.6831109,1,Forbs
Erigeron.glacialis,offTrail,8.14285714,2.097141118,11.175916,2.9868892,1,Forbs
Festuca.brachyphylla,offTrail,0,0,0,0,1,Graminoids
Gaultheria.humifusa,offTrail,0.35714286,-1.029619409,1.33630621,0.35714286,1,Ev. Shrubs
Juncus.drummondii,offTrail,1.85714286,0.6190392099,3.65549413,0.9769719,1,Graminoids
Kalmia.microphylla,offTrail,5.07142857,1.623622547,10.2090781,2.72849088,1,Ev. Shrubs
Luzula.piperi,offTrail,2.92857143,1.074514738,3.89208834,1.04020436,1,Graminoids
Leptarrhena.pyrolifolia,offTrail,0.64285714,-0.4418327567,2.40535118,0.64285714,1,Forbs
Luetka.pectinata,offTrail,35,3.555348061,9.92277877,2.65197418,1,Forbs
Lupinus_spp,offTrail,2.35714286,0.8574502331,7.42767323,1.98512917,1,Forbs
Penstemon.procerus,offTrail,0.14285714,-1.945910169,0.53452248,0.14285714,1,Forbs
Phyllodoce.empetriformis,offTrail,24.9285714,3.216014591,14.8607086,3.97169143,1,Ev. Shrubs
Phyllodoce.glanduliflora,offTrail,1.07142857,0.06899287015,4.00891863,1.07142857,1,Ev. Shrubs
Pilosella.tristis,offTrail,11.1428571,2.410798674,11.7201808,3.13235007,1,Forbs
Danthonia.intermedia,offTrail,0.42857143,-0.8472978571,1.60356745,0.42857143,1,Graminoids
Vahlodea.atropurpurea.,offTrail,7.28571429,1.985915484,12.9224228,3.45366277,1,Graminoids
Poa.alpina.arctica_Agrostis.alpina.humilis,offTrail,6.85714286,1.925290862,13.9441586,3.72673316,1,Graminoids
Potentilla.flabellifolia,offTrail,2.42857143,0.8873031956,7.41842079,1.98265635,1,Forbs
Pulsatilla.occidentalis,offTrail,0.71428571,-0.3364722426,2.67261242,0.71428571,1,Forbs
Salix.barclayi,offTrail,1.57142857,0.4519851228,5.87974732,1.57142857,1,Dec. Shrubs
Schoenoplectus.acutus,offTrail,0,0,0,0,1,Graminoids
Kalmia.spp,offTrail,0.21428571,-1.540445061,0.80178373,0.21428571,1,Ev. Shrubs
Sorbus.sitchensis,offTrail,0,0,0,0,1,Dec. Shrubs
Tonestus.lyallii,offTrail,0,0,0,0,1,Forbs
Tsuga.mertensiana,offTrail,1.85714286,0.6190392099,2.93145128,0.78346331,1,Conifers
Vaccinium.membranaceum,offTrail,0,0,0,0,1,Dec. Shrubs
Vaccinium.ovafolium,offTrail,28.0714286,3.334752283,15.2439864,4.07412673,1,Dec. Shrubs
Vahlodea.atropurpurea,offTrail,0,0,0,0,1,Graminoids
Valeriana.stichensis,offTrail,1.5,0.4054651081,3.63212165,0.97072534,1,Forbs
Veronica.wormskjoldii,offTrail,1.35714286,0.3053816517,5.0779636,1.35714286,1,Forbs
