"","transect","SITE","TRTMT","Brushing","Compaction","TRTMT_Brushing"
"1","TM-1","TM","trampled","compact_UB",1.5,"trampled-compact_UB"
"2","TM-1","TM","trampled","compact_UB",2.25,"trampled-compact_UB"
"3","TM-1","TM","trampled","compact_UB",0.75,"trampled-compact_UB"
"4","TM-1","TM","trampled","compact_UB",0,"trampled-compact_UB"
"5","TM-1","TM","trampled","compact_UB",1,"trampled-compact_UB"
"6","TM-1","TM","trampled","compact_UB",3,"trampled-compact_UB"
"7","TM-1","TM","trampled","compact_UB",2.5,"trampled-compact_UB"
"8","TM-1","TM","trampled","compact_UB",1.75,"trampled-compact_UB"
"9","TM-1","TM","trampled","compact_UB",3,"trampled-compact_UB"
"10","TM-1","TM","trampled","compact_UB",1.75,"trampled-compact_UB"
"11","TM-2","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"12","TM-2","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"13","TM-2","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"14","TM-2","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"15","TM-2","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"16","TM-2","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"17","TM-2","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"18","TM-2","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"19","TM-2","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"20","TM-2","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"21","TM-3","TM","trampled","compact_UB",4.5,"trampled-compact_UB"
"22","TM-3","TM","trampled","compact_UB",4,"trampled-compact_UB"
"23","TM-3","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"24","TM-3","TM","trampled","compact_UB",1.25,"trampled-compact_UB"
"25","TM-3","TM","trampled","compact_UB",3.25,"trampled-compact_UB"
"26","TM-3","TM","trampled","compact_UB",2,"trampled-compact_UB"
"27","TM-3","TM","trampled","compact_UB",1.5,"trampled-compact_UB"
"28","TM-3","TM","trampled","compact_UB",4,"trampled-compact_UB"
"29","TM-3","TM","trampled","compact_UB",4,"trampled-compact_UB"
"30","TM-3","TM","trampled","compact_UB",2.25,"trampled-compact_UB"
"31","TM-4","TM","untrampled","compact_UB",1.5,"untrampled-compact_UB"
"32","TM-4","TM","untrampled","compact_UB",1.25,"untrampled-compact_UB"
"33","TM-4","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"34","TM-4","TM","untrampled","compact_UB",2.75,"untrampled-compact_UB"
"35","TM-4","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"36","TM-4","TM","untrampled","compact_UB",1.25,"untrampled-compact_UB"
"37","TM-4","TM","untrampled","compact_UB",2.25,"untrampled-compact_UB"
"38","TM-4","TM","untrampled","compact_UB",2.5,"untrampled-compact_UB"
"39","TM-4","TM","untrampled","compact_UB",1.25,"untrampled-compact_UB"
"40","TM-4","TM","untrampled","compact_UB",1.5,"untrampled-compact_UB"
"41","TM-5","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"42","TM-5","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"43","TM-5","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"44","TM-5","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"45","TM-5","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"46","TM-5","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"47","TM-5","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"48","TM-5","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"49","TM-5","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"50","TM-5","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"51","TM-6","TM","untrampled","compact_UB",2.25,"untrampled-compact_UB"
"52","TM-6","TM","untrampled","compact_UB",1.75,"untrampled-compact_UB"
"53","TM-6","TM","untrampled","compact_UB",2,"untrampled-compact_UB"
"54","TM-6","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"55","TM-6","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"56","TM-6","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"57","TM-6","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"58","TM-6","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"59","TM-6","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"60","TM-6","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"61","TM-7","TM","trampled","compact_UB",2.75,"trampled-compact_UB"
"62","TM-7","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"63","TM-7","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"64","TM-7","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"65","TM-7","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"66","TM-7","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"67","TM-7","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"68","TM-7","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"69","TM-7","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"70","TM-7","TM","trampled","compact_UB",NA,"trampled-compact_UB"
"71","TM-8","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"72","TM-8","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"73","TM-8","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"74","TM-8","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"75","TM-8","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"76","TM-8","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"77","TM-8","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"78","TM-8","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"79","TM-8","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"80","TM-8","TM","untrampled","compact_UB",NA,"untrampled-compact_UB"
"81","BT-9","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"82","BT-9","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"83","BT-9","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"84","BT-9","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"85","BT-9","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"86","BT-9","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"87","BT-9","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"88","BT-9","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"89","BT-9","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"90","BT-9","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"91","BT-10","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"92","BT-10","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"93","BT-10","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"94","BT-10","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"95","BT-10","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"96","BT-10","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"97","BT-10","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"98","BT-10","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"99","BT-10","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"100","BT-10","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"101","BT-11","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"102","BT-11","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"103","BT-11","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"104","BT-11","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"105","BT-11","BT","trampled","compact_UB",1,"trampled-compact_UB"
"106","BT-11","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"107","BT-11","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"108","BT-11","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"109","BT-11","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"110","BT-11","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"111","BT-12","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"112","BT-12","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"113","BT-12","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"114","BT-12","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"115","BT-12","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"116","BT-12","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"117","BT-12","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"118","BT-12","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"119","BT-12","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"120","BT-12","BT","untrampled","compact_UB",NA,"untrampled-compact_UB"
"121","BT-13","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"122","BT-13","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"123","BT-13","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"124","BT-13","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"125","BT-13","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"126","BT-13","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"127","BT-13","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"128","BT-13","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"129","BT-13","BT","trampled","compact_UB",NA,"trampled-compact_UB"
"130","BT-13","BT","trampled","compact_UB",NA,"trampled-compact_UB"
