,transect,Vaccinium.ovafolium,Phyllodoce.empetriformis,Cassiope.mertensiana,Luetka.pectinata,Bryophyta,Erigeron.glacialis,Abies.lasiocarpa,Abies.amabilis,Tsuga.mertensiana,Diphasiastrum,Arnica.latifolia,Pilosella.tristis,Lupinus_spp,Danthonia.intermedia,Kalmia.microphylla,Agrostis.alpina,Luzula.piperi,Valeriana.stichensis,Vahlodea.atropurpurea,Festuca.brachyphylla,Potentilla.flabellifolia,Carex.pyrenaica,Carex.spectabilis,Carex.nigricans,Caltha.leptosepala,Juncus.drummondii,Phyllodoce.glanduliflora,Pulsatilla.occidentalis,Tonestus.lyallii,Gaultheria.humifusa,Antennaria.media,Castilleja.parvifolia,Veronica.wormskjoldii,Vaccinium.membranaceum,Penstemon.procerus,Epilobium.anagallidifolium,Leptarrhena.pyrolifolia,Juncus_spp_TM25,Poa_spp_TM25,Carex_spp_TM25,Carex_spp_4_PR23,Poa_spp_PR23,Eleocharis_PR22,Lazula_spp_PR22,Spike_rush_PR22,Carex_1_PR22,Poa_3_PR22,Lazula_spp_PR24,Carex_1_PR24,Carex_spp_4_PR21,Poa_spp_PR21,Spike_rush_PR20,Carex_1_PR20,Poa_3_PR20,Blackrice_carex,Poa_3_PR_19,Carex.lazulina,Little_shiny_pink,Castilleja_hybrid_PR18,Pink_canoe,BT_grass,Asteraceae_BT15,Poa_3_BT14,Juncus_BT13.14,Carex_1_BT9,Poa_3_TM8,Carex_4_TM7,Salix_barclayi,Wintergreen_2,Carex_1_TM6,Lil_hairy,Poa_2_TM6,Poa_3_TM6,Clintonia.uniflora,Poa_artc_TM5,Carex_4_TM5,Shiny.green,Poa_4,Bluegrass,Erigeron_spp_TM2,Carex_TM1,Carex_1_TM3.4,Schoenoplectus.acutus,Sorbus.sitchensis
1,BT-10,40,40,0,24,36,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,BT-11,36,35,0,4,10,1,9,0,0,0,0,0,1,0,0,0,2,13,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,BT-12,40,20,0,2,19,8,24,0,0,0,16,0,12,0,0,0,1,21,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,BT-13,32,0,12,40,0,10,21,0,0,0,22,19,28,0,0,0,13,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BT-14,38,15,33,38,8,4,22,0,0,0,16,20,22,0,0,0,3,10,0,0,0,7,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BT-15,0,0,14,28,17,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BT-16,0,0,8,9,29,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,BT-9,40,20,0,40,13,6,3,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,PR-17,0,1,7,33,0,0,9,0,0,1,0,14,0,0,0,0,7,0,0,0,0,0,3,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,PR-18,0,32,40,40,40,0,27,0,1,5,0,35,0,0,0,0,5,5,0,0,0,0,38,0,12,0,0,10,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
