Species,Trampled,Untrampled
Luetkea pectinata,1052.5,1091
Vaccinium ovalifolium,925.5,1681.5
Cassiope mertensiana,662.5,2688
Phyllodoce empetriformis,1059.5,1790
Abies lasiocarpa,230,686
Pilosella tristis,28.5,63.5
Erigeron glacialis,11,19.5
Vahlodea atropurpurea,18.5,47
Poa alpina,0.5,1.5
Agrostis capillaris.idahoensis,32,1.5
Kalmia microphylla,32,78.5
Carex spectabilis,102,25.5
Caltha leptosepala,3,111.5
Valeriana stichensis,9,67
Lupinus arcticus,59,48
Phyllodoce glanduliflora,8,130.5
Potentilla flabellifolia,0,63.5
Arnica latifolia,20,26.5
Diphasiastrum alpinum,0,0
Juncus drummondii,12,5
Luzula piperi,15.5,5.5
Tsuga mertensiana,106.5,111
Salix barclayi,0,101
Carex nigricans,188.5,138.5
Veronica wormskjoldii,0,4.5
Epilobium anagallidifolium,0,2.5
Castilleja parviflora,0,4
Pulsatilla occidentalis,0.5,17.5
Tonestus lyallii,0.5,2
Gaultheria humifusa,0,5
Leptarrhena pyrolifolia,0,30.5
Penstemon procerus,0,0
Erythronium grandiflorum,0,0
Salix commutata,0,0
Antennaria media,22,2
Festuca brachyphylla,0,0
Danthonia intermedia,30,144.5
Schoenoplectus acutus,10,0
Sorbus sitchensis,0,0
Vaccinium membranaceum,0,0
Antennaria umbrinella,0,0
Antennaria rosea,0,0
Ranunculus eschscholtzii,0,0
Diphasiastrum sitchense,76.5,230
Bryophyta - sp. 1,42.5,385
Bryophyta - sp. 2,11,78
Bryophyta - sp. 3,0,36.5
bare soil/rock,1645,0
soil with litter cover,10,1112
bare soil,5661,399.5
litter,394,1464.5
rock,657,481
Racomitrium elongatum,6.5,0
Bucklandiella sudetica,1,3
Polytricum spp,4,3.5
cryptogamic crust,345,256.5
Lophozia ventricosa,0.5,15
Dicranum pallidisetum,14,217
Rhytidiopsis robusta,3,0
Niphotricum ericoides,27,16
Ptych (bryo species 5),0.5,0
Hypnum spp,1,16
Barbilophozia hatcheri,0,59.5
Brachythecium spp,7.5,8
Niphotricum elongatum,0,22
Aulacomnium palustre,0,67
Rhytidiadelphus squarrosus,0,2
Polytrichum piliferum,36.5,1
Racomitrium spp.,13,1
Streblotrichum convolutum,1,8
Ceratodon purpureus,24,12
Carex hassei,1.5,2.5
Philonotis Fontana,0.5,0
Ditrichum,0.5,0
Pohlia spp.,0.5,0
Bryo sp. 6,0.5,0
Polytrichum sp 1,0,3
Carex nardina,5,0
Phyllodoce x intermedia,0,11
Solidago multiradiata,0,1
Micranthes tolmiei,0.5,0
