date,transect,quad,compact_UB,compact_B,compact_UB_avg,compact_B_avg,compact_notes
8/1/23,TM-1,1,1.5,2.5,1.75,2.875,"dusty trail, a bit rooty, tiny sticks and woodchips"
,,2,2.25,2.5,,,
,,3,0.75,2.75,,,
,,4,0,2.75,,,
,,5,1,2,,,
,,6,3,3,,,
,,7,2.5,2.25,,,
,,8,1.75,3.75,,,
,,9,3,3.5,,,
,,10,1.75,3.75,,,
8/1/23,TM-2,1,,2.25,,1.65,"all brushed, semi dense heather, lots of roots and litter"
,,2,,1.25,,,
,,3,,2.25,,,
,,4,,2,,,
,,5,,2.25,,,
,,6,,1.5,,,
,,7,,1.75,,,
,,8,,1,,,
,,9,,0.75,,,
,,10,,1.5,,,
7/31,TM-3,1,4.5,,,,
,,2,4,>4.5,,,
,,3,>4.5,>4.5,,,
,,4,1.25,3.25,,,
,,5,3.25,>4.5,,,
,,6,2,3.5,,,
,,7,1.5,4,,,
,,8,4,>4.5,,,
,,9,4,>4.5,,,
,,10,2.25,3.25,,,
7/31,TM-4,1,1.5,,,,through moss (v. mossy)
,,2,1.25,,,,through moss (v. mossy)
,,3,,1.75,,,
,,4,2.75,,,,through moss
,,5,,2.25,,,
,,6,1.25,,,,deep heather litter layer
,,7,2.25,,,,through moss
,,8,2.5,,,,deep heather litter layer etc.
,,9,1.25,,,,deep heather litter layer
,,10,1.5,,,,deep heather litter layer
7/31,TM-5,1,,3,,,very vegatated 
,,2,,3.25,,,
,,3,,2.75,,,very vegatated 
,,4,,2.75,,,
,,5,,4.25,,,
,,6,,3.25,,,
,,7,,4,,,
,,8,,3.5,,,
,,9,,3.75,,,
,,10,,4,,,
7/31,TM-6,1,2.25,,,,through moss
,,2,1.75,,,,through moss
,,3,2,,,,through moss
,,4,,1.25,,,brushed veg
,,5,,2.75,,,brushed veg
,,6,,2.25,,,brushed veg
,,7,,2.75,,,brushed veg
,,8,,2.25,,,brushed veg
,,9,,2,,,brushed veg
,,10,,2.25,,,brushed veg
7/31,TM-7,1,2.75,>4.5,,,
,,2,,2.5,,,very veg
,,3,,3.5,,,very veg
,,4,,4.5,,,
,,5,,>4.5,,,
,,6,,4.25,,,
,,7,,4,,,
,,8,,>4.5,,,
,,9,,4,,,
,,10,,1.5,,,very veg
7/31,TM-8,1,,1.75,,,
,,2,,2.5,,,
,,3,,2,,,v veg
,,4,,1.75,,,
,,5,,1.75,,,
,,6,,1.25,,,
,,7,,2.5,,,
,,8,,2.25,,,
,,9,,2.75,,,
,,10,,2.5,,,
7/29,BT-9,1,,2.5,,,
,,2,,1.75,,,
,,3,,2,,,
,,4,,2.5,,,
,,5,,2.5,,,
,,6,,2.5,,,
,,7,,0.75,,,
,,8,,2.75,,,
,,9,,2.25,,,
,,10,,1.75,,,
7/29,BT-10,1,,2.75,,,
,,2,,1.5,,,
,,3,,2.75,,,
,,4,,1.75,,,
,,5,,2.25,,,
,,6,,1.5,,,
,,7,,1.75,,,
,,8,,2.25,,,
,,9,,2.25,,,
,,10,,2.25,,,
7/29,BT-11,1,,1,,,
