date,transect,quad,compact_UB,compact_B,compact_UB_avg,compact_B_avg,compact_notes
2008-01-23,TM-1,1,1.5,2.5,1.75,2.875,"dusty trail, a bit rooty, tiny sticks and woodchips"
,TM-1,2,2.25,2.5,,,
,TM-1,3,0.75,2.75,,,
,TM-1,4,0,2.75,,,
,TM-1,5,1,2,,,
,TM-1,6,3,3,,,
,TM-1,7,2.5,2.25,,,
,TM-1,8,1.75,3.75,,,
,TM-1,9,3,3.5,,,
,TM-1,10,1.75,3.75,,,
2008-01-23,TM-2,1,,2.25,,1.65,"all brushed, semi dense heather, lots of roots and litter"
,TM-2,2,,1.25,,,
,TM-2,3,,2.25,,,
,TM-2,4,,2,,,
,TM-2,5,,2.25,,,
,TM-2,6,,1.5,,,
,TM-2,7,,1.75,,,
,TM-2,8,,1,,,
,TM-2,9,,0.75,,,
,TM-2,10,,1.5,,,
31-Jul,TM-3,1,4.5,,,,
,TM-3,2,4,4.75,,,
,TM-3,3,4.75,4.75,,,
,TM-3,4,1.25,3.25,,,
,TM-3,5,3.25,4.75,,,
,TM-3,6,2,3.5,,,
,TM-3,7,1.5,4,,,
,TM-3,8,4,4.75,,,
,TM-3,9,4,4.75,,,
,TM-3,10,2.25,3.25,,,
31-Jul,TM-4,1,1.5,,,,through moss (v. mossy)
,TM-4,2,1.25,,,,through moss (v. mossy)
,TM-4,3,,1.75,,,
,TM-4,4,2.75,,,,through moss
,TM-4,5,,2.25,,,
,TM-4,6,1.25,,,,deep heather litter layer
,TM-4,7,2.25,,,,through moss
,TM-4,8,2.5,,,,deep heather litter layer etc.
,TM-4,9,1.25,,,,deep heather litter layer
,TM-4,10,1.5,,,,deep heather litter layer
31-Jul,TM-5,1,,3,,,very vegatated 
,TM-5,2,,3.25,,,
,TM-5,3,,2.75,,,very vegatated 
,TM-5,4,,2.75,,,
,TM-5,5,,4.25,,,
,TM-5,6,,3.25,,,
,TM-5,7,,4,,,
,TM-5,8,,3.5,,,
,TM-5,9,,3.75,,,
,TM-5,10,,4,,,
31-Jul,TM-6,1,2.25,,,,through moss
,TM-6,2,1.75,,,,through moss
,TM-6,3,2,,,,through moss
,TM-6,4,,1.25,,,brushed veg
,TM-6,5,,2.75,,,brushed veg
,TM-6,6,,2.25,,,brushed veg
,TM-6,7,,2.75,,,brushed veg
,TM-6,8,,2.25,,,brushed veg
,TM-6,9,,2,,,brushed veg
,TM-6,10,,2.25,,,brushed veg
31-Jul,TM-7,1,2.75,4.75,,,
,TM-7,2,,2.5,,,very veg
,TM-7,3,,3.5,,,very veg
,TM-7,4,,4.5,,,
,TM-7,5,,4.75,,,
,TM-7,6,,4.25,,,
,TM-7,7,,4,,,
,TM-7,8,,4.75,,,
,TM-7,9,,4,,,
,TM-7,10,,1.5,,,very veg
31-Jul,TM-8,1,,1.75,,,
,TM-8,2,,2.5,,,
,TM-8,3,,2,,,v veg
,TM-8,4,,1.75,,,
,TM-8,5,,1.75,,,
,TM-8,6,,1.25,,,
,TM-8,7,,2.5,,,
,TM-8,8,,2.25,,,
,TM-8,9,,2.75,,,
,TM-8,10,,2.5,,,
29-Jul,BT-9,1,,2.5,,,
,BT-9,2,,1.75,,,
,BT-9,3,,2,,,
,BT-9,4,,2.5,,,
,BT-9,5,,2.5,,,
,BT-9,6,,2.5,,,
,BT-9,7,,0.75,,,
,BT-9,8,,2.75,,,
,BT-9,9,,2.25,,,
,BT-9,10,,1.75,,,
29-Jul,BT-10,1,,2.75,,,
,BT-10,2,,1.5,,,
,BT-10,3,,2.75,,,
,BT-10,4,,1.75,,,
,BT-10,5,,2.25,,,
,BT-10,6,,1.5,,,
,BT-10,7,,1.75,,,
,BT-10,8,,2.25,,,
,BT-10,9,,2.25,,,
,BT-10,10,,2.25,,,
29-Jul,BT-11,1,,1,,,
,BT-11,2,,2.75,,,
,BT-11,3,,0.75,,,
,BT-11,4,,0.75,,,
,BT-11,5,1,3.5,,,
,BT-11,6,NA,NA,,,Big rock
,BT-11,7,,2,,,
,BT-11,8,,2.75,,,
,BT-11,9,,2.75,,,
,BT-11,10,,2,,,
29-Jul,BT-12,1,,0.75,,1.575,
,BT-12,2,,0.75,,,
,BT-12,3,,1.75,,,
,BT-12,4,,0.75,,,
,BT-12,5,,2.5,,,
,BT-12,6,,1.25,,,
,BT-12,7,,2.25,,,
,BT-12,8,,2.25,,,
,BT-12,9,,1.75,,,
,BT-12,10,,1.75,,,
29-Jul,BT-13,1,,2.5,,2.675,
,BT-13,2,,2.5,,,
,BT-13,3,,3.25,,,
,BT-13,4,,2.75,,,
,BT-13,5,,2.75,,,
,BT-13,6,,2.25,,,
,BT-13,7,,2.25,,,
,BT-13,8,,1.5,,,
,BT-13,9,,3.5,,,
,BT-13,10,,3.5,,,
29-Jul,BT-14,1,,1.75,,1.8,
,BT-14,2,,1.25,,,
,BT-14,3,,1.75,,,
,BT-14,4,,0.75,,,
,BT-14,5,,1,,,
,BT-14,6,,2.25,,,
,BT-14,7,,2,,,
,BT-14,8,,2,,,
,BT-14,9,,3.75,,,
,BT-14,10,,1.5,,,
29-Jul,BT-15,NA,NA,NA,,,too rocky 
29-Jul,BT-16,NA,NA,NA,,,too rocky 
30-Jul,PR-17,1,2.75,3.25,,,
,PR-17,2,4,NA,,,
,PR-17,3,4,NA,,,very stoney 
,PR-17,4,4,4.75,,,very stoney 
,PR-17,5,3.5,4.75,,,very stoney 
,PR-17,6,2.5,4.75,,,very stoney 
,PR-17,7,1.5,3.75,,,very stoney 
,PR-17,8,2.75,3.75,,,
,PR-17,9,2.75,3.5,,,
,PR-17,10,NA,4.75+,,,very stoney 
30-Jul,PR-18,1,3.25,,,,moss and liter
,PR-18,2,2.5,,,,CC
,PR-18,3,1.75,,,,CC
,PR-18,4,2,,,,CC
,PR-18,5,1.5,,,,CC
,PR-18,6,2.25,,,,CC
,PR-18,7,2.75,,,,CC
,PR-18,8,1.75,,,,CC
,PR-18,9,2.5,,,,CC
,PR-18,10,2,,,,CC
30-Jul,PR-19,1,2,,,,litter removed 
,PR-19,2,,3,,,
,PR-19,3,,2.75,,,
,PR-19,4,,2.25,,,
,PR-19,5,,2.75,,,
,PR-19,6,,2.25,,,
,PR-19,7,,2.5,,,
,PR-19,8,,2.25,,,
,PR-19,9,,2,,,
,PR-19,10,2.5,,,,only removed small litter (little to no loose dirt)
30-Jul,PR-20,1,1.5,,,,CC
,PR-20,2,1.75,,,,CC
,PR-20,3,1.5,,,,CC
,PR-20,4,1.75,,,,CC
,PR-20,5,1,,,,CC
,PR-20,6,2.5,,,,CC
,PR-20,7,2.5,,,,CC
,PR-20,8,2.5,,,,CC
,PR-20,9,2.5,,,,CC
,PR-20,10,2,,,,CC
30-Jul,PR-21,1,,2.75,,3.05,
,PR-21,2,,2.25,,,
,PR-22,3,,4,,,
,PR-23,4,,2.25,,,
,PR-24,5,,3.5,,,
,PR-25,6,,1.5,,,
,PR-26,7,,4,,,
,PR-27,8,,2.75,,,
,PR-28,9,,3.5,,,
,PR-29,10,,4,,,
30-Jul,PR-22,1,,2,,2.1,
,PR-22,2,,2,,,
,PR-22,3,,2.5,,,
,PR-22,4,,1.75,,,
,PR-22,5,,2.25,,,
,PR-22,6,,2.25,,,
,PR-22,7,,2,,,
,PR-22,8,,2.25,,,
,PR-22,9,,2,,,
,PR-22,10,,2,,,
30-Jul,PR-23,1,,3.5,,,
,PR-23,2,,2,,,
,PR-23,3,,4.75,,,
,PR-23,4,,3.25,,,
,PR-23,5,,3.5,,,
,PR-23,6,,3.25,,,
,PR-23,7,,3.5,,,
,PR-23,8,,4,,,
,PR-23,9,,4,,,
,PR-23,10,,4.5,,,
30-Jul,PR-24,1,,1.5,,2.375,
,PR-24,2,,3,,,
,PR-24,3,,2.25,,,
,PR-24,4,,3.25,,,
,PR-24,5,,2.75,,,
,PR-24,6,,1.75,,,
,PR-24,7,,3.25,,,
,PR-24,8,,2.5,,,
,PR-24,9,,1.75,,,
,PR-24,10,,1.75,,,rocky 
16-Jul,TM-25,1,,4.25,,3.475,
,TM-25,2,,3.25,,,
,TM-25,3,,3.75,,,
,TM-25,4,,2.75,,,
